x,y,hazard_interactions,healing_interactions
25,25,0,433
25,75,0,0
25,125,0,0
25,175,0,0
25,225,0,0
25,275,0,0
25,325,0,0
25,375,0,35
25,425,0,673
25,475,0,999
25,525,0,0
25,575,0,0
25,625,0,0
25,675,0,0
25,725,0,0
25,775,0,0
25,825,0,0
25,875,0,0
25,925,0,0
25,975,0,0
75,25,0,0
75,75,0,67
75,125,0,0
75,175,0,0
75,225,0,0
75,275,0,0
75,325,0,0
75,375,0,0
75,425,0,0
75,475,0,278
75,525,0,0
75,575,0,0
75,625,0,0
75,675,0,0
75,725,0,0
75,775,0,0
75,825,0,0
75,875,0,0
75,925,0,0
75,975,0,0
125,25,0,0
125,75,0,7
125,125,0,8
125,175,0,0
125,225,0,0
125,275,0,0
125,325,0,0
125,375,0,0
125,425,0,0
125,475,0,0
125,525,0,217
125,575,0,0
125,625,0,0
125,675,0,0
125,725,0,0
125,775,0,0
125,825,0,0
125,875,0,0
125,925,0,0
125,975,0,0
175,25,0,0
175,75,0,0
175,125,0,15
175,175,0,1
175,225,0,0
175,275,0,0
175,325,0,0
175,375,0,0
175,425,0,0
175,475,0,0
175,525,0,40
175,575,0,0
175,625,0,0
175,675,0,0
175,725,0,0
175,775,0,0
175,825,0,0
175,875,0,0
175,925,0,0
175,975,0,0
225,25,0,0
225,75,0,0
225,125,0,0
225,175,0,15
225,225,0,0
225,275,0,0
225,325,0,0
225,375,0,0
225,425,0,0
225,475,0,0
225,525,0,41
225,575,0,0
225,625,0,0
225,675,0,0
225,725,0,0
225,775,0,0
225,825,0,0
225,875,0,0
225,925,0,0
225,975,0,0
275,25,0,0
275,75,0,0
275,125,0,0
275,175,66,2
275,225,0,0
275,275,0,0
275,325,0,0
275,375,0,0
275,425,0,0
275,475,0,0
275,525,0,29
275,575,0,12
275,625,0,0
275,675,0,0
275,725,0,0
275,775,0,0
275,825,0,0
275,875,0,0
275,925,0,0
275,975,0,0
325,25,0,0
325,75,0,0
325,125,0,0
325,175,0,0
325,225,0,0
325,275,0,0
325,325,0,0
325,375,0,0
325,425,0,0
325,475,0,0
325,525,138,16
325,575,75,0
325,625,11,0
325,675,58,0
325,725,0,0
325,775,0,0
325,825,0,0
325,875,0,0
325,925,0,0
325,975,0,0
375,25,0,0
375,75,0,0
375,125,0,0
375,175,0,0
375,225,0,0
375,275,0,0
375,325,0,0
375,375,0,0
375,425,0,0
375,475,0,0
375,525,32,0
375,575,0,0
375,625,5,0
375,675,18,14
375,725,0,14
375,775,0,0
375,825,0,0
375,875,0,0
375,925,0,0
375,975,0,0
425,25,0,685
425,75,0,0
425,125,0,0
425,175,0,0
425,225,0,0
425,275,0,0
425,325,0,0
425,375,0,0
425,425,0,0
425,475,0,0
425,525,0,0
425,575,34,2
425,625,114,93
425,675,0,135
425,725,0,104
425,775,0,22
425,825,0,8
425,875,0,0
425,925,0,0
425,975,0,0
475,25,0,969
475,75,0,177
475,125,0,0
475,175,0,0
475,225,0,0
475,275,0,0
475,325,3,0
475,375,0,0
475,425,4,0
475,475,0,0
475,525,0,0
475,575,0,0
475,625,0,0
475,675,0,0
475,725,0,35
475,775,0,114
475,825,0,122
475,875,0,282
475,925,0,0
475,975,0,0
525,25,0,0
525,75,0,0
525,125,0,216
525,175,0,112
525,225,0,69
525,275,0,39
525,325,10,38
525,375,0,26
525,425,101,9
525,475,3,0
525,525,0,0
525,575,0,0
525,625,0,0
525,675,0,0
525,725,0,0
525,775,0,0
525,825,0,0
525,875,0,0
525,925,0,357
525,975,0,308
575,25,0,0
575,75,0,0
575,125,0,0
575,175,0,0
575,225,0,0
575,275,0,0
575,325,0,0
575,375,0,0
575,425,6,5
575,475,0,0
575,525,0,0
