timestamp,tick,agent_id,agent_name,health,max_health,pos_x,pos_y,action,velocity_x,velocity_y
1758366698.201254,122,4180cc71-6f7e-4ca2-b534-df348e18af01,Explorer_00,93.34965404000832,100,685.1829032605929,365.77509173851337,wander,0.752721550969933,-0.6583390211019082
1758366698.201254,122,37f2fbb8-b0bf-440b-a404-3329e904888a,Cautious_01,76.34965404000832,100,412.14399610611747,556.2998518589369,wander,-0.9344048233544946,-0.3562128943368778
1758366698.201254,122,63110662-1709-454f-820d-85bac8dacaab,Balanced_02,98.34965404000832,100,593.9934484902005,545.859693184206,wander,0.9991280843271212,0.041750103099475966
1758366698.201254,122,11791c42-8c5f-477b-b754-39385a080ff1,Aggressive_03,56.34965404000832,100,507.69502700778247,434.9096041646746,avoid_hazard,0.21525970923515778,0.976556837864543
1758366698.201254,122,918cf5fc-e2a9-4580-b126-f68be1413e5d,Social_04,75.34965404000832,100,482.24223215267324,416.4099877071959,avoid_hazard,-0.7344281343503857,0.6786864633058567
1758366698.201254,122,3b47b0c1-9cc8-40dd-aabe-d6ceef03cec8,Explorer_05,98.34965404000832,100,668.1654506855091,650.6707404414818,wander,0.5728241933022556,0.8196782561271344
1758366698.201254,122,1b6dfd5f-f92b-4a8b-8cf1-dc407749ef92,Cautious_06,90.34965404000832,100,336.79848211671504,385.677048878962,wander,-0.9637856790666309,-0.26667801714065825
1758366698.201254,122,77312873-0101-4601-811a-95e8e3dddc34,Balanced_07,80.34965404000832,100,481.4747771163644,482.4986089041705,wander,-0.6757319194917163,-0.7371474567412145
1758366698.201254,122,82f1bbdd-6e56-497e-9cf0-3ea7a1f306d2,Aggressive_08,74.34965404000832,100,539.193471454714,408.5358980723554,avoid_hazard,0.977095676217089,0.21280046879147024
1758366698.201254,122,96afe4da-c4b1-4eff-9da2-697d59305d70,Social_09,85.34965404000832,100,318.75731595335026,492.618466950708,wander,-0.7885825031511323,-0.614928968031182
1758366698.201254,122,da17e26b-1a3c-44be-98e2-268d34c41d4e,Explorer_10,57.34965404000832,100,493.07435997138793,458.88125225830356,avoid_hazard,-0.11681519232113964,0.9931536692994569
