x,y,hazard_interactions,healing_interactions
25,25,0,644
25,75,0,0
25,125,0,0
25,175,0,0
25,225,0,0
25,275,0,10
25,325,0,173
25,375,0,409
25,425,0,706
25,475,0,606
25,525,0,0
25,575,0,0
25,625,0,0
25,675,0,0
25,725,0,0
25,775,0,0
25,825,0,0
25,875,0,0
25,925,0,0
25,975,0,0
75,25,0,0
75,75,0,87
75,125,0,1
75,175,0,0
75,225,0,0
75,275,0,0
75,325,0,0
75,375,0,0
75,425,0,0
75,475,0,263
75,525,0,0
75,575,0,0
75,625,0,0
75,675,0,0
75,725,0,0
75,775,0,0
75,825,0,0
75,875,0,0
75,925,0,0
75,975,0,0
125,25,0,0
125,75,0,0
125,125,0,20
125,175,0,2
125,225,0,0
125,275,0,0
125,325,0,0
125,375,0,0
125,425,0,0
125,475,0,0
125,525,0,202
125,575,0,0
125,625,0,0
125,675,0,0
125,725,0,0
125,775,0,0
125,825,0,0
125,875,0,0
125,925,0,0
125,975,0,0
175,25,0,0
175,75,0,0
175,125,0,0
175,175,0,17
175,225,0,2
175,275,0,0
175,325,0,0
175,375,0,0
175,425,0,0
175,475,0,0
175,525,0,31
175,575,0,7
175,625,0,0
175,675,0,0
175,725,0,0
175,775,0,0
175,825,0,0
175,875,0,0
175,925,0,0
175,975,0,0
225,25,0,0
225,75,0,0
225,125,0,0
225,175,0,0
225,225,49,17
225,275,0,0
225,325,0,0
225,375,0,0
225,425,0,0
225,475,0,0
225,525,0,25
225,575,0,17
225,625,0,0
225,675,0,0
225,725,0,0
225,775,0,0
225,825,0,0
225,875,0,0
225,925,0,0
225,975,0,0
275,25,0,153
275,75,0,0
275,125,0,0
275,175,0,0
275,225,0,0
275,275,0,0
275,325,0,0
275,375,0,0
275,425,0,0
275,475,0,0
275,525,0,22
275,575,0,2
275,625,0,17
275,675,4,0
275,725,4,0
275,775,0,0
275,825,0,0
275,875,0,0
275,925,0,0
275,975,0,0
325,25,0,192
325,75,0,0
325,125,0,0
325,175,0,0
325,225,0,0
325,275,0,0
325,325,0,0
325,375,0,0
325,425,0,0
325,475,0,0
325,525,20,12
325,575,0,3
325,625,82,3
325,675,11,0
325,725,0,0
325,775,0,0
325,825,0,0
325,875,0,0
325,925,0,0
325,975,0,0
375,25,0,195
375,75,0,0
375,125,0,0
375,175,0,0
375,225,0,0
375,275,0,0
375,325,0,0
375,375,0,0
375,425,0,0
375,475,0,0
375,525,45,2
375,575,20,7
375,625,4,0
375,675,22,12
375,725,0,12
375,775,0,0
375,825,0,0
375,875,0,0
375,925,0,0
375,975,0,0
425,25,0,197
425,75,0,0
425,125,0,0
425,175,0,0
425,225,0,0
425,275,0,0
425,325,0,0
425,375,0,0
425,425,132,5
425,475,0,0
425,525,0,0
425,575,115,1
425,625,116,37
425,675,0,44
425,725,0,38
425,775,0,14
425,825,0,6
425,875,0,0
425,925,0,0
425,975,0,0
475,25,0,950
475,75,0,200
475,125,0,70
475,175,0,83
475,225,0,85
475,275,0,61
475,325,0,13
475,375,0,13
475,425,0,1
475,475,2,0
475,525,0,0
475,575,0,0
475,625,0,0
475,675,0,0
475,725,0,9
475,775,0,46
475,825,0,53
475,875,0,287
475,925,0,0
475,975,0,0
525,25,0,420
525,75,0,84
525,125,0,914
525,175,0,42
525,225,0,32
525,275,0,33
525,325,0,32
525,375,3,34
525,425,67,26
525,475,25,3
525,525,0,0
525,575,0,0
